S.No,mobile,name,category
100,251911210828,GIGI AFRO-ASIAN DESIGN P.L.C,Furniture (House & Office)
101,251911203226,GIRMA DEBELE FEYSSA,Furniture (House & Office)
102,251911211023,GIRMA TESFAYE ABEBE,Furniture (House & Office)
103,251917810536,GM FURNITURE,Furniture (House & Office)
104,251911217929,GOLDEN FURNITURE,Furniture (House & Office)
105,251911202158,Green Furniture Manufacturing Plc,Furniture (House & Office)
106,251911700081,Guest house for rent,Furniture (House & Office)
107,251911213293,H.G GENERAL IMPORT & DISTRIBUTOR,Furniture (House & Office)
108,251911646435,Hab General House And Office Furniture Enterprise,Furniture (House & Office)
109,251911206422,HABIB BADEBO BUSHERA,Furniture (House & Office)
110,251911401263,HABTAMU GELAYE GUDETA,Furniture (House & Office)
111,251930097524,HAFIZA TRADE,Furniture (House & Office)
112,251911689887,HAGT GENERAL BUSINESS PLC,Furniture (House & Office)
113,251911632169,HAMZA OUMER,Furniture (House & Office)
114,251911480639,HARENI BALTINA,Furniture (House & Office)
115,251911208133,HASSEN IDRIS & HIS FAMILY PLC,Furniture (House & Office)
116,251911236478,HASSEN OMER ALI,Furniture (House & Office)
117,251911247414,HAWAS AGRI BUSINESS PLC,Furniture (House & Office)
118,251911209603,Hirut Gugsa,Furniture (House & Office)
119,251911247884,Home Base Wood Works,Furniture (House & Office)
120,251911218051,HOME LINE CARPPET &CURTIEN SALE,Furniture (House & Office)
121,251911205477,Ikhlas Finishing Product Industry Trade PLC,Furniture (House & Office)
122,251913062852,JENNY ANNE ECUYER,Furniture (House & Office)
123,251911200998,JERRY STATIONERY,Furniture (House & Office)
124,251911232424,Kalid Ahmed Importer,Furniture (House & Office)
125,251911885691,Kassech Demisse Tolla,Furniture (House & Office)
126,251911609447,Kerero Wood Work Shop,Furniture (House & Office)
127,251911802203,KIDEST HAILE BOGALE,Furniture (House & Office)
128,251911205503,King Furniture,Furniture (House & Office)
129,251911512649,KITCHEN WORLD,Furniture (House & Office)
130,251920029984,Kiya Mejles,Furniture (House & Office)
131,251918706333,Kobel Industry S.Co,Furniture (House & Office)
132,251922150948,Kokeb Dcor,Furniture (House & Office)
133,251911131970,Lemma Bekele Alemu,Furniture (House & Office)
134,251930074617,LILISE TEKLE GELETA,Furniture (House & Office)
135,251911225138,Limera Addis Trade Work P.L.C,Furniture (House & Office)
136,251911694954,Liyu Furniture,Furniture (House & Office)
137,251911862458,Lot Trading P.L.C,Furniture (House & Office)
138,251911214765,Lulseged Bogale Deneke,Furniture (House & Office)
139,251911610187,M T H INDUSTRIAL ELECTRICAL MATERIAL SALES,Furniture (House & Office)
140,251911204301,MAKY TX TRADING,Furniture (House & Office)
141,251930013479,MANAMA GENERAL TRADING PLC,Furniture (House & Office)
142,251911206721,Mayswi Trating Limited Plc.,Furniture (House & Office)
143,251911214786,MEBTOM PLC,Furniture (House & Office)
144,251911088567,MESELE GIRMA MULATE,Furniture (House & Office)
145,251911204073,MESERET SERGUALEM GENERAL IMPORTE,Furniture (House & Office)
146,251911225211,MESKEREM TADESSE ABEBE,Furniture (House & Office)
147,251911305168,META FURNITURE,Furniture (House & Office)
148,251911243139,Michot Furniture,Furniture (House & Office)
149,251910821537,MIHIRET WELDU GEBREMARIYAM,Furniture (House & Office)
150,251912048941,Mns Furniture,Furniture (House & Office)
151,251911202935,MODULEX ETHIOPIA AGENCY,Furniture (House & Office)
152,251928347363,Mohammed Dawid,Furniture (House & Office)
153,251911234487,MOHAMMED SEMAN AWOL,Furniture (House & Office)
154,251911647782,MOPARHO UNIVERSAL PLC,Furniture (House & Office)
155,251911529153,MUBAREK MUSA DAMENA,Furniture (House & Office)
156,251911442105,Mulualem Getachew House And Office Furnitures,Furniture (House & Office)
157,251911523093,MULUTENA HOUSE MADE FOOD PRODUCT,Furniture (House & Office)
158,251911602626,MUSTEFA HASSEN HUSSEN,Furniture (House & Office)
159,251910258258,MUYABU ELECTRIC AND BUILDING MATERIAL GENERAL TREAD PLC,Furniture (House & Office)
160,251911920887,NAHOMED WORKS AND INTERIOR DESIGN,Furniture (House & Office)
161,251967898934,NAHRET GENERAL SERVICES AND TRADING ENTERPRISE,Furniture (House & Office)
162,251911527239,Nas Furniture,Furniture (House & Office)
163,251911232915,NASSIM AUTO MERCANTILE,Furniture (House & Office)
164,251911519184,NATIONAL MARKETERS PLC,Furniture (House & Office)
165,251911421301,NATIONAL METAL & WOOD WORKS PLC,Furniture (House & Office)
166,251912615400,Nazar Furniture Manufacturing Plc,Furniture (House & Office)
167,251911221741,Nehmya Engineering P.L.C,Furniture (House & Office)
168,251911211691,NESRO AWEL JEWELLERY,Furniture (House & Office)
169,251911206064,NETGEAR INDUSTRIAL SOLUTIONS PLC,Furniture (House & Office)
170,251938898989,Nh Bay Furniture,Furniture (House & Office)
171,251911207567,Nyala House-Hold And Office Furniture Production Enterprise,Furniture (House & Office)
172,251911207628,Oda Share Company,Furniture (House & Office)
173,251910512630,Office Max Computer And Office Furniture,Furniture (House & Office)
174,251913895239,Orient Furniture Plc,Furniture (House & Office)
175,251911490483,PERFECTO OMEGA FURNITURE PLC,Furniture (House & Office)
176,251966351725,PROCHEM IMPORT,Furniture (House & Office)
177,251911200141,QUEEN OF SHEBA TOUR AND TRAVEL,Furniture (House & Office)
178,251911753034,QUEEN SHEBA FURNITURE AND CARPET HOUSE,Furniture (House & Office)
179,251911205430,RAB TRADING ENTERPRISE,Furniture (House & Office)
180,251911519331,RABIT STATIONERY,Furniture (House & Office)
181,251911175774,RAEY CONSTRUCTION CO-OP/SO/WITH/L/L,Furniture (House & Office)
182,251911792429,RAHEL BALTINA TRADE,Furniture (House & Office)
183,251911225910,RAWEDA SEDE KEMALE,Furniture (House & Office)
184,251913293512,Real Take,Furniture (House & Office)
185,251911152944,REBEQA ASEFAWE AYANA,Furniture (House & Office)
186,251911517415,Roj Office Supplies,Furniture (House & Office)
187,251921347038,Rosewood Custom Furniture PLC,Furniture (House & Office)
188,251911250746,SAHLE P.L.C,Furniture (House & Office)
189,251935401213,SAHLE SELASSIE ARAYA DENTAL CLINIC & TRAINING,Furniture (House & Office)
190,251930109692,SAICA ETHIOPIA TRADING PLC,Furniture (House & Office)
191,251911201065,SALIM MOHAMMED BAMUNIF /BAHALAS CARPETS/,Furniture (House & Office)
192,251911413122,Sami House And Office Furniture,Furniture (House & Office)
193,251911215545,Sami House Hold And Office Furniture Work Shop,Furniture (House & Office)
194,251932491637,Sami-Addis Trading Plc (Lima Manufacturing Plc),Furniture (House & Office)
195,251910294526,Samuel Nehemiah Furniture Shop,Furniture (House & Office)
196,251911600306,SANI MOHAMMED MUSSA,Furniture (House & Office)
197,251911205086,SAVASTOPOL TRADING PLC,Furniture (House & Office)
198,251911126984,SEID MOHAMMED IBRAHIM,Furniture (House & Office)
199,251911203384,SELAM E.M P.L.C,Furniture (House & Office)
200,251910851352,SENAIT DEBASH HAILU,Furniture (House & Office)
201,251911122056,SEVASTOPOL TRADING PLC,Furniture (House & Office)
202,251913218105,Sg Furniture,Furniture (House & Office)
203,251930012430,SHEGER CITY METER TAXI S.C.,Furniture (House & Office)
204,251911240589,SHOA CURTAIN WORK,Furniture (House & Office)
205,251911205771,SIED OMER YESUF,Furniture (House & Office)
206,251911213002,SILESHI NIGUSSIE BEYENE,Furniture (House & Office)
207,251911203640,SILICON COMPUTER & COMMUNICATION PLC,Furniture (House & Office)
208,251911523136,SIMBA TOURS ETHIOPIA,Furniture (House & Office)
209,251911150358,SINANA WOOD AND METAL WORKS PLC,Furniture (House & Office)
210,251911206275,SIRARA UNIVERSAL TRADING,Furniture (House & Office)
211,251911213715,SOLOMON ADEMU TESSEMA,Furniture (House & Office)
212,251911202805,SOLOMON FEKADU EZINEH,Furniture (House & Office)
213,251911207183,Solomon Siyum,Furniture (House & Office)
214,251911209520,SOURCE GENERAL TRADING PLC,Furniture (House & Office)
215,251911223365,St. Urael Household And Office Furniture Shop,Furniture (House & Office)
216,251911236079,SUN FLECT GENERAL TRADING PLC,Furniture (House & Office)
217,251910356060,Suna Home Textile,Furniture (House & Office)
218,251920135768,Sunmate Furniture Enterprise,Furniture (House & Office)
219,251911181862,SUPER S.G.S TRADING,Furniture (House & Office)
220,251912033091,SUPREME CONSULT PLC,Furniture (House & Office)
221,251911205898,SURAFEL FIKRU BERE,Furniture (House & Office)
222,251911240025,SWEET HOME DECOR,Furniture (House & Office)
223,251911204673,T.A-KANZEN YEHIA AND SONS P.L.C,Furniture (House & Office)
224,251911215750,T.D.F Furniture Import & Suppller,Furniture (House & Office)
225,251911218682,T.D.K. GENERAL TRADING PLC,Furniture (House & Office)
226,251911203566,TAD TRADING PLC,Furniture (House & Office)
227,251911204496,TAFESSE ABEBE AND HIS SONS PLC,Furniture (House & Office)
228,251911551933,Tafesse Abebe Molla,Furniture (House & Office)
229,251911606483,Tdf New And Used Furnitures,Furniture (House & Office)
230,251915732190,"Tekia Gebrie Building Materials, Household & Office Furniture Manufacturing",Furniture (House & Office)
231,251911239177,Teweldeberhan Tadesse Gezahegn,Furniture (House & Office)
232,251911539093,Tewor Importer,Furniture (House & Office)
233,251911203663,TG GREEN LAND GENERAL TRADING,Furniture (House & Office)
234,251911206429,TIGISTE TEFERRA BEFEKADU,Furniture (House & Office)
235,251911209127,Tilksew Gedamu Ayele,Furniture (House & Office)
236,251930013073,Tsge Sertse Furniture Shop,Furniture (House & Office)
237,251911633476,Tsinat Furniture P.L.C,Furniture (House & Office)
238,251910903633,Uluda Furniture,Furniture (House & Office)
239,251911211919,UNI TRADE P.L.C,Furniture (House & Office)
240,251914655777,UNILEVER ETHIOPIA PLC,Furniture (House & Office)
241,251911507628,UNIVERSAL TRAVEL AGENCY,Furniture (House & Office)
242,251911204877,V. KARIBIIAN,Furniture (House & Office)
243,251911216590,Waryt Wood Works,Furniture (House & Office)
244,251904647909,Water Tanker Company,Furniture (House & Office)
245,251911202713,Wave General Bisiness P.L.C,Furniture (House & Office)
246,251911922295,Wendemamachoche Office Furniture,Furniture (House & Office)
247,251911230848,WEREFA TRADING PLC,Furniture (House & Office)
248,251912486287,WEYNESHET ZERFU ZELEKE,Furniture (House & Office)
249,251911407788,Why Not Furniture,Furniture (House & Office)
250,251911206844,WOINU CURTAIN TRADE PLC,Furniture (House & Office)
251,251911205053,WOLID SEID ABDELLA,Furniture (House & Office)
252,251911227922,WONDWOSEN TESHOME WORKU,Furniture (House & Office)
253,251911236948,Workinsh Demses Dennibssa,Furniture (House & Office)
254,251911224526,Wosenyeleh Bisrot Mekuria,Furniture (House & Office)
255,251913822091,WOW PRIME HOUSE SERVICE PLC,Furniture (House & Office)
256,251930202020,WoW Prime House Services,Furniture (House & Office)
257,251911401967,WUBIT KOLO,Furniture (House & Office)
258,251942205533,Yd Furniture,Furniture (House & Office)
259,251911693003,Yg Furniture,Furniture (House & Office)
260,251911516853,YONATAN BT FURNITURE,Furniture (House & Office)
261,251911202485,Yonifem Corner Commercial Business Plc,Furniture (House & Office)
262,251911675729,YUSUF NEWERA ANIMAL MEDICNE IMPORTER & DISTRI,Furniture (House & Office)
263,251911210131,Z.M INDUSTRIAL ELECTRICAL & ELECTRONICS,Furniture (House & Office)
264,251911528988,Zamani Furnicher,Furniture (House & Office)
265,251911653851,ZAMU P.L.C,Furniture (House & Office)
266,251911221626,ABOZEN ABERA,Textile
267,251911205038,ADANE DESTA W/KIDAN,Textile
268,251911505888,ADEA CURTAIN & SOFA TEXTILE SHOP,Textile
269,251911201177,Alazar Textile,Textile
270,251920324175,Almildo Constraction,Textile
271,251911213014,AMINA ABDULAHI AHMED,Textile
272,251911226021,Aresama Tailor,Textile
273,251911632278,Arif Mohammed Ahmed,Textile
274,251911405983,Asbm Industrial Plc,Textile
275,251911676314,Astab Family General Impex Plc.,Textile
276,251911224249,ATEBE INTERNATIONAL PLC,Textile
277,251911217955,B.T.D P.L.C,Textile
278,251912188871,Degefu Edea Denboba,Textile
279,251911203096,Dejene Ibsa,Textile
280,251911304479,Dereje Genene Adea,Textile
281,251911563073,Diplomatic Tailoring P.L.C,Textile
282,251911224012,Dokeme P.L.C,Textile
283,251911246297,E.A.E Family Plc,Textile
284,251911227518,Eltex Textile And Garment Factory,Textile
285,251911238932,ETSUB BALTENA,Textile
286,251911201992,G-Seven Trading And Industry Plc,Textile
287,251911208394,Getachew Maru Aygugu,Textile
288,251911424844,Getachew Unit Garment Enterprise,Textile
289,251911348679,Getaneh Birru Zerihun,Textile
290,251911696444,Grace Textile & Leather Factory,Textile
291,251911220794,GYB STAR COMMERCIAL TRADING PLC,Textile
292,251911205633,Hassen Mohammed Hassen,Textile
293,251929905129,ISLEX EXPORT PLC,Textile
294,251911656108,Jah Tree Of Life P.L.C,Textile
295,251911200416,JOHN BOUTIQUE,Textile
296,251911227073,K Design,Textile
297,251911606755,Kamil Private Employment Agency,Textile
298,251911208406,M.KONI TRADING,Textile
299,251920157714,MAZB Traditional Cloth Fashion Designer,Textile
300,251927707711,MELAKU HAILE GOSHU,Textile
301,251930109891,Mns Manufacturing P.L.C,Textile
302,251911204399,MODERN TEXTILE,Textile
303,251911947733,MOHAMMED FARAH AHMED,Textile
304,251911242458,MUDESIR JEMAL MUZEIN,Textile
305,251918766768,Narga Garment Factory,Textile
306,251911218675,NOVASTAR GARMENT FACTORY PLC,Textile
307,251911405460,Siraj Desta Ibrahim,Textile
308,251911205898,SURAFEL FIKRU BERE,Textile
309,251911692063,TAKE ET TRADING PLC,Textile
310,251911215163,TEFF TRANSPORT PLC,Textile
311,251911641949,TRIO CRAFT P.L.C,Textile
312,251911237853,VITCCON PRIVATE LIMITED COMPANY,Textile
313,251911420992,Wow Fashion,Textile
314,251911210717,ASFA P.L.C.,Handicraft
315,251911632799,Beza Traditional Cloth Manufacture & Distribute,Handicraft
316,251911601884,ENTOTO BETH ARTISAN,Handicraft
317,251911200713,GOPANI BROTHERS PLC,Handicraft
318,251911245711,HABESHA TRADITIONAL CENTER & ART GALLERY,Handicraft
319,251911145913,Paradise Fashion,Handicraft
320,251911207963,A.T.L. TRADING,Gift and Decoration Shops
321,251911200458,ABAMECHA ABADIKO & SONS PLC,Gift and Decoration Shops
322,251911216946,ABDELA MOHAMMED SHIFA,Gift and Decoration Shops
323,251911618533,Abdu Dcor,Gift and Decoration Shops
324,251911243433,Abdulkerim Ahmed Yimam,Gift and Decoration Shops
325,251911211876,ABDULSEMED ALI ENDRIS,Gift and Decoration Shops
326,251911613435,ABDURAHMAN ABDULAHI SHERIF,Gift and Decoration Shops
327,251911216520,ABUBEKER SEID RETA,Gift and Decoration Shops
328,251911195256,Addis Tsige Gebretsadik,Gift and Decoration Shops
329,251911212726,Addon Decor And Gift Land,Gift and Decoration Shops
330,251911236518,ALI ABDU ALI IMPORT & EXPORT,Gift and Decoration Shops
331,251913104452,American Beauty Supply,Gift and Decoration Shops
332,251911406650,Amran Decor,Gift and Decoration Shops
333,251911207499,ANLEY ALEMU IMPORT EXPORT,Gift and Decoration Shops
334,251911219085,ANNA COSMETICS STORE,Gift and Decoration Shops
335,251911540500,Archies Gift Shop,Gift and Decoration Shops
336,251911207055,ARSI AGRICULTURAL MECHANIZATION SERVICE,Gift and Decoration Shops
337,251911729085,ASFAN-BEKISESSA URGESSA,Gift and Decoration Shops
338,251911232777,ASHENAFI DEMISSIE MERNIE,Gift and Decoration Shops
339,251930006140,Ayat Ababa Decor,Gift and Decoration Shops
340,251914667216,AZESERA ELECTRONIC & GIFT DISTRIBUTOR,Gift and Decoration Shops
341,251911201243,BADREG PLC,Gift and Decoration Shops
342,251911611704,BANCHALEM ZELEKE GIFT ARTICLES,Gift and Decoration Shops
343,251911207808,BEGA TOUR OPERATION,Gift and Decoration Shops
344,251911466194,CAROGA PHARMA ETH PLC,Gift and Decoration Shops
345,251911221433,CHANCHO FLOWERS PLC,Gift and Decoration Shops
346,251911207152,COSMO TRADING PLC,Gift and Decoration Shops
347,251911618292,Dawit Kassaye Amemi,Gift and Decoration Shops
348,251911200593,DUET ENTERPRIZE,Gift and Decoration Shops
349,251911200231,DUGDA FLORICULTURE DEVELOPMENT P.L.C,Gift and Decoration Shops
350,251911201075,ELFAKAL PVT.LTD.CO.,Gift and Decoration Shops
351,251911424928,Elias Tesfaye Kumsa,Gift and Decoration Shops
352,251911632540,Elilta Decor,Gift and Decoration Shops
353,251911601884,ENTOTO BETH ARTISAN,Gift and Decoration Shops
354,251911458102,EPHREM AKLIOG MEKONNEN,Gift and Decoration Shops
355,251911444057,Ephrem Erecho Degu,Gift and Decoration Shops
356,251911229380,ERKAB TRANSIT & CONSULTANCY SERVICE PLC,Gift and Decoration Shops
357,251911686453,Ethio Garden Solution Enterprise,Gift and Decoration Shops
358,251924955890,Eve Decor,Gift and Decoration Shops
359,251911643905,EVERGREEN FLOWERS,Gift and Decoration Shops
360,251911246685,Expressions Fresh Flowers and Gift Shop,Gift and Decoration Shops
361,251911234164,FISTUM TILAHUN H/MESKEL,Gift and Decoration Shops
362,251911490231,FREESIA ETHIOPIA P.L.C,Gift and Decoration Shops
363,251911209851,Fresh Office Depot,Gift and Decoration Shops
364,251911205175,GALERY 21 GENERAL TRADING PLC,Gift and Decoration Shops
365,251911204298,Gallery Abebe Asfaw,Gift and Decoration Shops
366,251912036343,Garden Roze,Gift and Decoration Shops
367,251911672129,GETACHEW GIFTS,Gift and Decoration Shops
368,251911200713,GOPANI BROTHERS PLC,Gift and Decoration Shops
369,251911692684,Grace Trading Plc,Gift and Decoration Shops
370,251911563502,Green Land Flower Shop,Gift and Decoration Shops
371,251911211448,HAILU DEMEKE G/MESKEL,Gift and Decoration Shops
372,251911482340,Hirut Natural Flower Shop,Gift and Decoration Shops
373,251911201230,HOLETA ROSES PLC,Gift and Decoration Shops
374,251912200437,INTERIOR MOTIFS & DESIGN TRADING,Gift and Decoration Shops
375,251911211024,J.J Kothari & Co. (Eth) Ltd,Gift and Decoration Shops
376,251911474375,JEMAL YASSIN ALI,Gift and Decoration Shops
377,251911200998,JERRY STATIONERY,Gift and Decoration Shops
378,251911250014,Joni Dicore,Gift and Decoration Shops
379,251911203878,Kaleb Lema Feyisa,Gift and Decoration Shops
380,251911450122,KALID ALEWI AHMED,Gift and Decoration Shops
381,251911230624,LINSSEN ROSES ETHIOPIA P.L.C,Gift and Decoration Shops
382,251911619527,LIYONARDO SUPERMARKET,Gift and Decoration Shops
383,251911490518,MARANQUE PLANTS P.L.C,Gift and Decoration Shops
384,251911200785,Margetk Printing Plc,Gift and Decoration Shops
385,251911223201,MEHARI REDAEI IMPORTER & EXPORTER,Gift and Decoration Shops
386,251911211438,MEKAB ENGINEERING PLC,Gift and Decoration Shops
387,251911482583,Mel Decor,Gift and Decoration Shops
388,251911455632,Memory Decor,Gift and Decoration Shops
389,251911502121,MENAGESHA FLOWERS PLC,Gift and Decoration Shops
390,251911481861,Meryam Yassin Kedir,Gift and Decoration Shops
391,251911129106,Meseret Assefa,Gift and Decoration Shops
392,251911670807,Miracle Decor,Gift and Decoration Shops
393,251911211070,MODISH GIFT SHOP,Gift and Decoration Shops
394,251920191414,Mushira Intertainment,Gift and Decoration Shops
395,251911422861,N.Y.B Flower & Gift Shop,Gift and Decoration Shops
396,251931483919,Nardose Eshetu Flower Shop,Gift and Decoration Shops
397,251911560678,NEBIAT HASSEN AHMED,Gift and Decoration Shops
398,251911613205,NEJAT BERHAN MOHAMMED ENTERPRISE,Gift and Decoration Shops
399,251911834592,NUREDIN AHMED HASSEN,Gift and Decoration Shops
400,251911664640,NURIA MEHAMED ASEN,Gift and Decoration Shops
401,251911607357,OCCASIONS FLOWER DELIVERY AND DECOR,Gift and Decoration Shops
402,251911210610,Parseghian Silver Smith & Gift articles,Gift and Decoration Shops
403,251911202022,Rahel Mohammed Feyessa,Gift and Decoration Shops
404,251911608960,Real Cosmetics,Gift and Decoration Shops
405,251911200798,RINA INTERNATIONAL TRADING,Gift and Decoration Shops
406,251911621360,ROHA COTTEN HOUSE,Gift and Decoration Shops
407,251911846565,SAFELINK TRADING PLC,Gift and Decoration Shops
408,251913315702,Sami Decor,Gift and Decoration Shops
409,251911603759,SEBLEWONGEL SEIFU,Gift and Decoration Shops
410,251911236325,SINGIKO DANMARK ETHIOPIA PLC,Gift and Decoration Shops
411,251911206411,SMILE GIFT SHOP,Gift and Decoration Shops
412,251911207075,SMS PLC,Gift and Decoration Shops
413,251911202003,SOBE ETHIOPIA,Gift and Decoration Shops
414,251913928002,SOL-ABE PLC,Gift and Decoration Shops
415,251911425734,SORET ABERA DANBOBA,Gift and Decoration Shops
416,251911669220,SPIRIT P.L.C,Gift and Decoration Shops
417,251911203189,SUMMIT AGRO INDUSTRY P.L.C,Gift and Decoration Shops
418,251911642093,SUN BIRD FLOWER SHOP,Gift and Decoration Shops
419,251911240025,SWEET HOME DECOR,Gift and Decoration Shops
420,251911227624,Tameru Muluneh,Gift and Decoration Shops
421,251911241435,TAMIRAT ASSEFA GIRMA,Gift and Decoration Shops
422,251911210858,TAMIRAT BEYENE GENERAL TRADING PLC,Gift and Decoration Shops
423,251911219900,TARIK AHMED MOHAMMED,Gift and Decoration Shops
